Date,Hsi_Close,Date,Dji_Close
11/30/2006,18960.48,11/30/2006,12221.93
12/1/2006,18690.82,12/1/2006,12194.13
12/4/2006,18702.73,12/4/2006,12283.85
12/5/2006,18944.19,12/5/2006,12331.6
12/6/2006,19026.36,12/6/2006,12309.25
12/7/2006,18842.99,12/7/2006,12278.41
12/8/2006,18739.99,12/8/2006,12307.48
12/11/2006,18924.66,12/11/2006,12328.48
12/12/2006,18907.17,12/12/2006,12315.58
12/13/2006,18718.19,12/13/2006,12317.5
12/14/2006,18919.4,12/14/2006,12416.76
12/15/2006,19110.65,12/15/2006,12445.52
12/18/2006,19192.91,12/18/2006,12441.27
12/19/2006,18964.55,12/19/2006,12471.32
12/20/2006,19240.12,12/20/2006,12463.87
12/21/2006,19222.84,12/21/2006,12421.25
12/22/2006,19320.52,12/22/2006,12343.21
12/27/2006,19725.73,12/26/2006,12407.63
12/28/2006,20001.91,12/27/2006,12510.57
12/29/2006,19964.72,12/28/2006,12501.52
1/2/2007,20310.18,12/29/2006,12463.15
1/3/2007,20413.39,1/3/2007,12474.52
1/4/2007,20025.58,1/4/2007,12480.69
1/5/2007,20211.28,1/5/2007,12398.01
1/8/2007,20029.66,1/8/2007,12423.49
1/9/2007,19898.08,1/9/2007,12416.6
1/10/2007,19568.34,1/10/2007,12442.16
1/11/2007,19385.37,1/11/2007,12514.98
1/12/2007,19613.41,1/12/2007,12556.08
1/15/2007,20068.56,1/16/2007,12582.59
1/16/2007,20027.95,1/17/2007,12577.15
1/17/2007,20064.57,1/18/2007,12567.93
1/18/2007,20277.51,1/19/2007,12565.53
1/19/2007,20327.72,1/22/2007,12477.16
1/22/2007,20772.22,1/23/2007,12533.8
1/23/2007,20769.7,1/24/2007,12621.77
1/24/2007,20821.05,1/25/2007,12502.56
1/25/2007,20669.83,1/26/2007,12487.02
1/26/2007,20281.13,1/29/2007,12490.78
1/29/2007,20236.68,1/30/2007,12523.31
1/30/2007,20460.46,1/31/2007,12621.69
1/31/2007,20106.42,2/1/2007,12673.68
2/1/2007,20430.16,2/2/2007,12653.49
2/2/2007,20563.68,2/5/2007,12661.74
2/5/2007,20455.62,2/6/2007,12666.31
2/6/2007,20655.2,2/7/2007,12666.87
2/7/2007,20679.69,2/8/2007,12637.63
2/8/2007,20735.05,2/9/2007,12580.83
2/9/2007,20677.66,2/12/2007,12552.55
2/12/2007,20593.41,2/13/2007,12654.85
2/13/2007,20132.25,2/14/2007,12741.86
2/14/2007,20209.91,2/15/2007,12765.01
2/15/2007,20538.42,2/16/2007,12767.57
2/16/2007,20567.91,2/20/2007,12786.64
2/19/2007,20567.91,2/21/2007,12738.41
2/21/2007,20651.42,2/22/2007,12686.02
2/22/2007,20809.23,2/23/2007,12647.48
2/23/2007,20711.65,2/26/2007,12632.26
2/26/2007,20507.95,2/27/2007,12216.24
2/27/2007,20147.87,2/28/2007,12268.63
2/28/2007,19651.51,3/1/2007,12234.34
3/1/2007,19346.6,3/2/2007,12114.1
3/2/2007,19442.01,3/5/2007,12050.41
3/5/2007,18664.88,3/6/2007,12207.59
3/6/2007,19058.56,3/7/2007,12192.45
3/7/2007,18918.64,3/8/2007,12260.7
3/8/2007,19175.17,3/9/2007,12276.32
3/9/2007,19134.88,3/12/2007,12318.62
3/12/2007,19442.42,3/13/2007,12075.96
3/13/2007,19333.14,3/14/2007,12133.4
3/14/2007,18836.93,3/15/2007,12159.68
3/15/2007,18969.44,3/16/2007,12110.41
3/16/2007,18953.5,3/19/2007,12226.17
3/19/2007,19266.74,3/20/2007,12288.1
3/20/2007,19356.9,3/21/2007,12447.52
3/21/2007,19516.41,3/22/2007,12461.14
3/22/2007,19690.25,3/23/2007,12481.01
3/23/2007,19692.64,3/26/2007,12469.07
3/26/2007,19765.85,3/27/2007,12397.29
